cian_base2
cian_id ;rooms;metro;adress;square;house;price;description;renovation
281255588;3;м. Смоленская ;Москва, улица Арбат, 38/1С2;95.0/70.0/15.0; Кирпичный;73500000;"Продается трехкомнатная квартира в историческом клубном доме 1917 года постройки.

Квартира имеет функциональную планировку которая включает в себя: 

-кухню-гостинную
-кабинет
-спальню
-2 с/у. 

В квартире сделан дизайнерский ремонт. Стены  восстановленная оригинальная кирпичная кладка, пол оформлен красным кирпичом, что объединяет интерьер. Квартира продается полностью укомплектованная: со всей мебелью и предметами декора.

Отделка из высококачественных материалов премиум класса,наборной паркет Kensington,Prada. Двери и окна дубовые. Мебель из дерева(дуб и карагач)-Hard massive. Кухня Skavolini с техникой Kuppersbush., 35 фото";Дизайнерский
281188758;4;м. Арбатская ;Москва, Никитский бульвар, 8;142.6/100.0/20.0; Кирпичный;54500000;"Предлагается потрясающий вариант на Никитском бульваре

Планировка: 3 спальни, гостинная, кухня-столовая, 2 санузла. 
Окна выходят на 2 стороны стороны, в квартире 9 окон. 

С квартиры открываются потрясающие виды на бульвар. 

Развитая инфраструктура и район. Все исторические места находятся в пешей доступности., 18 фото";Евроремонт
281160614;3;м. Фрунзенская ;Москва, Фрунзенская набережная, 36/2;135.7;;64970000;"Продается теплая светлая двухуровневая квартира со новым ремонтом (никто не жил). 

Дом находится в тихом районе на берегу Фрунзенской набережной в Хамовниках.
 
На первом этаже расположена гостиная совмещенная с кухней, спальня и совмещенный санузел.

На втором этаже просторная спальня, очень большая ванная комната и гардеробная. 

Охрана в каждом подъезде. Парковка в закрытом дворе со шлагбаумом. Во дворе детская и футбольная площадки. 

Свободная продажа. Один собственник., 18 фото";Дизайнерский
263581890;6;м. Улица 1905 года;Москва, улица Сергея Макеева, 9к1;405.0/206.9/29.0; Монолитный;270000000;"Эксклюзивное предложение, сочетающее в себе преимущества пентхауса с отличными видами на центр Москвы, двойным светом в зоне гостиной  столовой, огромными окнами и большим количеством спален (можно спланировать от 4 до 6) и просторной террасой в 126 кв.м., а также возможность установки дровяного камина.  

Квартира подготовлена к чистовой отделке. Выполнен самый затратный и технологически сложный объем работ по прокладке всех инженерных сетей (вентиляция, кондиционирование, сантехника, электрика, слаботочные сети), шумоизоляция по периметру квартиры, окна заменены на немецкие дерево-алюминиевые с улучшенными тепло- и звукоизоляционными показателями., 9 фото";Без ремонта
281041221;1;м. Медведково ;Москва, улица Тихомирова, 5;39.0/19.1/7.5; Панельный;10500000;"Арт. 36245109 


Предлагается квартира в доме серии П-44Т в шаговой доступности от метро Медведково. Дом расположен в тихом, зеленом квартале. Ухоженный подъезд с консьержем, благоустроенный двор. Есть тамбурная дверь на две квартиры. Квартира продается со встроенной кухней и техникой, плитой, холодильником и посудомоечной машиной, микроволновкой, а также угловым шкафом в коридоре. Квартира оборудована кондиционером и видеодомофоном. Теплые полы на кухне и в коридоре. Санузел совмещенный, лоджия застеклена. Рядом с домом несколько школ и детских садов, ФОК с бассейном, сквер, сетевые магазины, гипермаркет ""Глобус"". Один собственник с 2013 года, никто не прописан. Свободная продажа., 22 фото";Косметический
273814317;3;м. Улица 1905 года;Москва, улица Сергея Макеева, 9к3;137.0; Монолитный;100000000;"ЭКСКЛЮЗИВНО В  PEOPLE - ЛУЧШЕЕ НОВОГОДНЕЕ ПРЕДЛОЖЕНИЕ на Пресне!!!
С КАЧЕСТВЕННОЙ ГОТОВОЙ ОТДЕЛКОЙ, В ПРЕМИАЛЬНОМ  жилом комплексе RED SIDE. ОПЕРАТИВНЫЙ ПОКАЗ!

К продаже предлагается великолепная 3-КОМНАТНАЯ КВАРТИРА с дизайнерским ремонтом в премиальном ЖК Red Side, В САМОМ ТИХОМ КОРПУСЕ! Вдали от шума и строек.

ФУНКЦИОНАЛЬНАЯ ПЛАНИРОВКА пространства: 
- холл с гардеробной 
- гостевой с/у с постирочной зоной 
- просторная гостиная с диванной и кухонно-обеденной группой
- мастер спальня с зоной кабинета и гардеробной 
- ванная комната
- гардеробная
- вторая спальня и ванная комната.

В квартире выполнена авторская отделка с использованием высококачественных, ценных материалов.
Кухня полностью укомплектована техникой Miele, сантехника Villeroy&Boch, премиальная дизайнерская мебель от Dantone Home.

В гостиной биокамин. Дизайнерские люстры, текстиль. На полу паркет.
По всему периметру установлена дополнительная приточно-вытяжная система вентиляции и кондиционирования с функцией очистки ..., 38 фото";Дизайнерский
279126745;6;м. Улица 1905 года;Москва, улица Сергея Макеева, 9к1;406.0; Монолитный;270000000;"ЖК REDSIDE. ТЕРРАСА 126 кв. м.! 50/50
Продаётся уникальный ПЕНТХАУС  в центре Москвы! 
6 метровые потолки в гостиной, позволят Вам наслаждаться естественным светом квартиры. 
Камин создаст уют Вашему дому. И великолепная просторная терраса позволит Вам сделать барбекю не выходя из дома. 
В квартире проведены самые дорогие коммуникации, сделана отделка White box. 
Выполнен самый затратный и технологически сложный объем работ по прокладке всех инженерных сетей (вентиляция, кондиционирование, сантехника, электрика, слаботочные сети), шумоизоляция по периметру квартиры, окна заменены на немецкие дерево-алюминиевые с улучшенными тепло- и звукоизоляционными показателями. 
БОНУС к Квартире - готовый ДИЗАЙН-ПРОЕКТ.
3 машиноместа и кладовка предмет для торга.
Быстрый выход на сделку. 1 собственник., 29 фото";Без ремонта
279081106;Аппартаменты;м. Чкаловская ;Москва, улица Воронцово Поле, 12С3;31.89/18.2; Кирпичный;11181100;"Станьте собственником студии в инвест-отеле 3* в 2 км от Красной площади !

Пассивный доход - 8% годовых от вложений на руки. 
Выплаты ежемесячно

В этом районе стоимость недвижимости выросла на 46% за последние два года.
-------------------------------------------
КОМПЛЕКТАЦИЯ СТУДИЙ И СЕРВИС

В стоимость студии уже включена отделка, мебель и техника:
- Кровать с ортопедическим матрасом
- Кухня: холодильник, вытяжка, варочная панель, микроволновка и кухонные принадлежности
- Ванная комната с душевой кабиной
- Рабочий стол
- Кондиционер, приточно-вытяжная вентиляция и электронные замки
-------------------------------------------
РАСПОЛОЖЕНИЕ

- Недалеко станции метро: Чкаловская и Курская - 480 м (5 мин)
- 2 километра до Красной площади и Московского Кремля
- В 12 мин ходьбы от ресторанной ул. Мясницкой и в 15 мин от Гоголь-центра, театра на Таганке и Современника
- 600 м до начала пешего маршрута по живописным набережным Яузы и Москвы-реки мимо знаменитой высотки на Котельнической и п ..., 6 фото";Дизайнерский
279667266;4;м. Динамо ;Москва, Ленинградский проспект, 35С2;100.0/30.0; Монолитный;60000000;"Дизайнерский ремонт 2022 года, никто не жил и полностью готово к проживанию). Включает кухня-гостиная 30 кв.м.; мастер- спальня (23 кв.м.) со своим с/у и гардеробной спальня/детская (16 кв.м.) с гардеробной; спальня/кабинет (17 кв.м.) с балконом. Постирочная; С/у с душевой и С/у с ванной; 3 гардеробные комнаты. В гостиной окно в пол, в тихий и красивый двор (можно смотреть за ребёнком)) В доме реализована концепция двор без машин . Внутренний двор, доступен только жильцам дома. Приточно-вытяжная система кондиционирования Haier, потолки 3м, кухня ручной работы по индивидуальному дизайну. Столешница, фартук все подоконники, а так же отдельный кухонный остров из натурального камня, бытовая техника Neff, двери высотой 2,4 метра, сантехника Villeroy & Boch, и др. европейских марок, дизайнерская плитка Keope (Италия) и Calacata Португалия), полы паркет французкая ёлочка дуб селект (штучный), дизайнерский заказной диван, две кровати с подъёмным механизмом, свет Maytoni и Freya (Германия), Ode ..., 21 фото";Дизайнерский
276472277;4;м. Октябрьская ;Москва, Мытная улица, 40к1;132.6/40.0; Монолитный;100000000;Квартира в ЦАО с панорамным остеклением в пол. Ремонт 2022 года, никто не жил. Кухня-гостиная 40 кв.м., мастер-спальня с гардеробной и с/у 21 кв.м., вторая спальня с гардеробом 16 кв.м., третья спальня с гардеробом 14 кв.м., кабинет 10 кв.м., 3 с/у (отдельностоящая ванна и душевые) , 3 гардеробные комнаты, кладовая, постирочная. Кондиционирование Daikin, потолки 3м, кухня ручной работы по индивидуальному дизайну (длина более 7 метров), столешница, фартук, а так же кухонный остров из натурального камня, бытовая техника NEFF, двери высотой 2,4 метра, сантехника Villeroy&Boch, и др. европейских марок, дизайнерская плитка Keope (Италия) и Calacata Португалия), полы паркет французкая ёлочка, дуб, селект (штучный), дизайнерский мебель (Loft designe, Cosmorelax, Nord), две кровати с подъёмным механизмом, свет Maytoni, Arte Lamp, Torch (Италия), везде дополнительно трековое освещение, шторы бархат, на стенах английская краска Little Green и Benjamin Moore (США). Теплый пол везде, где плитка. В ..., 23 фото;Дизайнерский
280806286;4;м. Улица 1905 года;Москва, улица Трехгорный Вал, 14С1;209.0;;144200000;"Продается 4-х комнатная квартира площадью 209 кв. м на 10 этаже в жилом комплексе бизнес класса Трилогия, в престижном районе исторической Красной Пресни, вблизи Москвы-реки, Дома Правительства РФ, ЦМТ и нового делового района  Москва-Сити!
Квартира имеет свободную планировку, панорамные окна и высокие потолки. Отделка подъездов - мрамор и натуральное дерево. 

Есть подземный охраняемый паркинг с удобным заездом и в шаговой доступности любая инфраструктура : магазины, школа, поликлиника , детский сад, кафе, Московский зоопарк. В шаговой доступности также находится метро ""Улица 1905 года"". Удобное транспортное доступность - Садовое кольцо и ТТК  позволяет быстро добраться в любую часть Москвы., 5 фото";Без ремонта
257596191;6;м. Китай-город ;Москва, улица Солянка, 1/2С1;209.6/122.0/10.0; Монолитно-кирпичный;230000000;"Объект в историческом центре столицы (ЦАО, р-н Басманный). Класс  Deluxe.
Авторский дизайн-проект в стиле фьюжн, сосредоточивший в себе функциональность, современные инженерные решения и утонченный стиль современной европейской квартиры.
Концепция интерьера квартиры - ритм, заданный расположением окон и акцентированный стеклянными перегородками, со строгими черными переплатами в основной зоне гостиной-кухни и кабинета, наполняющий пространство светом и объемом, уравновешивается камерностью и плавностью линий приватных зон спален и детских комнат.
Декор, отделочные материалы, мебель, аксессуары, свет - от ведущих производителей Европы.
Кухня инновационного производителя Leicht (Германия), комплектация - бытовая техника Miele.
Архитектура:
Распашонка, зонирование на 4 блока: 
1  гостевой блок: спальня, гостевой WC (окна на восток, во двор);
2 - мастер блок: спальня, гардеробная-1, хозяйский WC (окна на восток, во двор)
3  гостиная-столовая, кабинет, кухня+кладовая, детская-1, детская-2 ( ..., 32 фото";Дизайнерский
277334909;3;м. Пушкинская ;Москва, Малая Бронная улица, 15Б;189.2/91.0/19.0; Монолитно-кирпичный;520000000;"В лучшем новом доме района Патриарших Прудов предлагается к покупке квартира с двумя спальнями с полной отделкой. Квартира расположена на 4 этаже с прекрасными видовыми характеристиками на Малую Бронную улицу и исторический центр.   
Идеальная планировка: две отдельные спальни, каждая со своей ванной комнатой и гардеробной, постирочная, гостевой санузел. Гостиная с дровяным камином с отдельной зоной кухни со своей хозяйственной комнатой для хранения.  
Полы из натурального итальянского мрамора Arabescato Cervaiole и дерева, классический декор стен, гипсовые карнизы и подоконники из натурального кварцевого агломерата Ceasarstone Pure White, панорамные окна ""в пол"" и французские балконы. Кухня немецкого бренда SieMatic, вся бытовая техника Gaggenau, столешницы из камня марки Vicostone Bianco Venato. Эксклюзивные санфаянс и техника от компании Villeroy&Boch, выполненные на заказ для квартиры, отдельно стоящие ванны Devon&Dеvon.  
Система ""умный дом"": дистанционное управление всеми осветит ..., 19 фото";Дизайнерский
279244268;4;м. Фрунзенская ;Москва, Трубецкая улица, 12;131.9; Монолитно-кирпичный;169500000;"Лот Р0095. К продаже предлагается функциональная четырехкомнатная квартира площадью 131,9 кв.м. с качественным современным ремонтом. Из окон квартиры, с 10 этажа, открывается вид во внутренний двор Жилого комплекса. Есть м/м и кладовое помещение в подземном паркинге.
Элитный комплекс клубных домов Садовые Кварталы один из самых ярких архитектурных проектов. Это целый элитный микрорайон, расположенный в самом центре Хамовников. Отличная транспортная доступность комплекса сочетается с его удаленностью от шумных автомагистралей и прекрасной экологией.
В основу проекта, над которым работали сразу семь звезд российской архитектуры, положена идея комплексного освоения территории: помимо 33 клубных жилых домов на 11 га территории создается прекрасная современная инфраструктура. Сердцем района является центральная площадь с прудом, торговой галереей, кафе и ресторанами, окруженная парком с бульварами и аллеями. Все автодороги, паркинги и подъездные пути комплекса находятся на его подземных уро ..., 23 фото";Дизайнерский
281188869;4;м. Кутузовская ;Москва, Кутузовский проспект, 26К1;157.0/120.0/20.0; Кирпичный;58990000;"Предлагается потрясающая квартира в дома Брежнева. 

Планировка: 3 спальни, кухня, гостинная, гардеробная, 2 санузла, хозяйская комната. 

В квартире выполнен качественный ремонт в классическом стиле. Окна выходят на две стороны, на Кутузовский проспект и в тихий двор, с которого открываются виды в сторону Москва-сити.

Парковка во дворе закрытая, под шлагбаум.Территория дома охраняемая, ведется видеонаблюдение. Во дворе есть детские площадки и свой небольшой зеленый сквер.

В соседнем здании находится школа имени Легасова. В пешей доступности находится набережная., 28 фото";Дизайнерский
280352078;2;м. Цветной бульвар ;Москва, Петровский бульвар, 17/1;117.3;;109000000;"132927 ЖК Клубный Дом DEPRE

Продается дизайнерский апартамент 117,3 кв. м., вошедший в топ-100 лучших проектов года. Премия журнала AD ""Архитектура года"". 
Гостиная, столовая  кухня - 60 кв. м., гостевой санузел, просторная гардеробная с окном 20 кв. м., спальней и ванной с окном  образуют единый приватный блок. 
Все столярные изделия выполнены из массива ореха, точечное освещение, люстры, а также мрамор приобретены под заказ в Италии, паркет Ebony(Великобритания), итальянская мебель Baxter и Flou, сантехника Laufen (Швейцария) и Cielo (Италия). Приточно-вытяжная вентиляция Daikin (Япония). 
Уникальные сводчатые потолки высотой от 4 до 6 метров.
Всем ценителям архитектуры начала 20 века и всем, кто хочет жить в центре Москвы и при этом в тишине и приватности.

Клубный дом Depre  это редевелопмент исторического особняка, построенного в 1902 году в стиле эклектика по проекту Романа Клейна. Бывший доходный дом, возведённый на деньги известного винодела по фамилии Депре. 
Авторы проекта р ..., 12 фото";
279723064;3;м. Мичуринский проспект ;Москва, улица Лобачевского, 98к3;98.3/62.6/7.8; Монолитный;37500000;"При покупки квартиры в декабре - МАШИНОМЕСТО в ПОДАРОК!!! Редкое предложение о продаже квартиры в ЖК "" Аксиома"" по СУПЕР -ЦЕНЕ!!! Трехкомнатная  видовая квартира  с качественным ремонтом!!!  Дом премиум класса. Закрытая территория, круглосуточная охрана, видео-наблюдение, на территории гостевая парковка и подземный паркинг. Прекрасная квартира с потрясающими видами , вид из окна на две стороны.  Большая кухня - гостиная - столовая  37,4 кв м, две изолированные спальни, два санузла,  гардеробная комната, высота потолков 3 .10 .В квартире перепланировка-, но всё!!! узаконено, соголасовано и оформленно документами! Быстрый и оперативный показ!Развитая инфраструктура, всё в шаговой доступности! Уголок живой природы -  ""Парк Олимпийской деревни"" с современными спортивными и детскими площадками, дорожки для прогулок и занятий бегом, 4 пруда с облагороженными набережными.
  В описании к ролику есть подробный сайт по квартире., 27 фото";Дизайнерский
281483499;3;м. Раменки ;Москва, Мосфильмовская улица, 88к2с5;80.0; Монолитный;55000000;"Продается евро-3х комнатная квартира в ЖК Мосфильмовский с дизайнерским ремонтом и мебелью премиум класса. (ФОТО НАСТОЯЩИЕ)

ПРО ДОКУМЕНТЫ:
1 взрослый собственник, полная стоимость в договоре.

ПРО РЕМОНТ:
Абсолютно новый ремонт, завершен в ноябре 2022 г. 
Вся мебель выполнена по индивидуальному заказу с использованием натурального шпона. 
На полу в спальнях натуральный массив дерева, в санузлах испанский керамогранит премиального бренда Porcelanosa и сантехника Noken. 

ПЛАНИРОВКА: 
-кухня-гостиная
-мастер-спальня
-гостевая комната
-личный санузел
-гостевой сан узел
-прихожая

Особенности: 
Грамотно организованно пространство, все продуманно до мелочей:
-в каждой из спален есть своя вместительная гардеробная, 
-пол с подогревом, 
-в каждой комнате установлена японская сплит-система Daikin
-голосовое управление освещением в квартире с помощью Яндекс станции Алиса.

Вся бытовая техника немецкого бренда Miele: стиральная и сушильная машина, кофемашина, посудомоечная машина, духовой шкаф  ..., 19 фото";Дизайнерский
